"iso_code3","frac_waso_isw_incinerated_recovered_for_energy","Year"
"FRA",0.0247740922166716,2035
"FRA",0.0247740922166716,2036
"FRA",0.0247740922166716,2037
"FRA",0.0247740922166716,2038
"FRA",0.0247740922166716,2039
"FRA",0.0247740922166716,2040
"FRA",0.0247740922166716,2041
"FRA",0.0247740922166716,2042
"FRA",0.0247740922166716,2043
"FRA",0.0247740922166716,2044
"FRA",0.0247740922166716,2045
"FRA",0.0247740922166716,2046
"FRA",0.0247740922166716,2047
"FRA",0.0247740922166716,2048
"FRA",0.0247740922166716,2049
"FRA",0.0247740922166716,2050
"FRO",0.0137652297612201,2021
"FRO",0.0137652297612201,2022
"FRO",0.0137652297612201,2023
"FRO",0.0137652297612201,2024
"FRO",0.0137652297612201,2025
"FRO",0.0137652297612201,2026
"FRO",0.0137652297612201,2027
"FRO",0.0137652297612201,2028
"FRO",0.0137652297612201,2029
"FRO",0.0137652297612201,2030
"FRO",0.0137652297612201,2031
"FRO",0.0137652297612201,2032
"FRO",0.0137652297612201,2033
"FRO",0.0137652297612201,2034
"FRO",0.0137652297612201,2035
"FRO",0.0137652297612201,2036
"FRO",0.0137652297612201,2037
"FRO",0.0137652297612201,2038
"FRO",0.0137652297612201,2039
"FRO",0.0137652297612201,2040
"FRO",0.0137652297612201,2041
"FRO",0.0137652297612201,2042
"FRO",0.0137652297612201,2043
"FRO",0.0137652297612201,2044
"FRO",0.0137652297612201,2045
"FRO",0.0137652297612201,2046
"FRO",0.0137652297612201,2047
"FRO",0.0137652297612201,2048
"FRO",0.0137652297612201,2049
"FRO",0.0137652297612201,2050
"FSM",0.0345133222977813,2021
"FSM",0.0345133222977813,2022
"FSM",0.0345133222977813,2023
"FSM",0.0345133222977813,2024
"FSM",0.0345133222977813,2025
"FSM",0.0345133222977813,2026
"FSM",0.0345133222977813,2027
"FSM",0.0345133222977813,2028
"FSM",0.0345133222977813,2029
"FSM",0.0345133222977813,2030
"FSM",0.0345133222977813,2031
"FSM",0.0345133222977813,2032
"FSM",0.0345133222977813,2033
"FSM",0.0345133222977813,2034
"FSM",0.0345133222977813,2035
"FSM",0.0345133222977813,2036
"FSM",0.0345133222977813,2037
"FSM",0.0345133222977813,2038
"FSM",0.0345133222977813,2039
"FSM",0.0345133222977813,2040
"FSM",0.0345133222977813,2041
"FSM",0.0345133222977813,2042
"FSM",0.0345133222977813,2043
"FSM",0.0345133222977813,2044
"FSM",0.0345133222977813,2045
"FSM",0.0345133222977813,2046
"FSM",0.0345133222977813,2047
"FSM",0.0345133222977813,2048
"FSM",0.0345133222977813,2049
"FSM",0.0345133222977813,2050
"GAB",0.0270553958804707,2021
"GAB",0.0270553958804707,2022
"GAB",0.0270553958804707,2023
"GAB",0.0270553958804707,2024
"GAB",0.0270553958804707,2025
"GAB",0.0270553958804707,2026
"GAB",0.0270553958804707,2027
"GAB",0.0270553958804707,2028
"GAB",0.0270553958804707,2029
"GAB",0.0270553958804707,2030
"GAB",0.0270553958804707,2031
"GAB",0.0270553958804707,2032
"GAB",0.0270553958804707,2033
"GAB",0.0270553958804707,2034
"GAB",0.0270553958804707,2035
"GAB",0.0270553958804707,2036
"GAB",0.0270553958804707,2037
"GAB",0.0270553958804707,2038
"GAB",0.0270553958804707,2039
"GAB",0.0270553958804707,2040
"GAB",0.0270553958804707,2041
"GAB",0.0270553958804707,2042
"GAB",0.0270553958804707,2043
"GAB",0.0270553958804707,2044
"GAB",0.0270553958804707,2045
"GAB",0.0270553958804707,2046
"GAB",0.0270553958804707,2047
"GAB",0.0270553958804707,2048
"GAB",0.0270553958804707,2049
"GAB",0.0270553958804707,2050
"GBR",0.0245767666735699,2021
"GBR",0.0245767666735699,2022
"GBR",0.0245767666735699,2023
"GBR",0.0245767666735699,2024
"GBR",0.0245767666735699,2025
"GBR",0.0245767666735699,2026
"GBR",0.0245767666735699,2027
"GBR",0.0245767666735699,2028
"GBR",0.0245767666735699,2029
"GBR",0.0245767666735699,2030
"GBR",0.0245767666735699,2031
"GBR",0.0245767666735699,2032
"GBR",0.0245767666735699,2033
"GBR",0.0245767666735699,2034
"GBR",0.0245767666735699,2035
"GBR",0.0245767666735699,2036
"GBR",0.0245767666735699,2037
"GBR",0.0245767666735699,2038
"GBR",0.0245767666735699,2039
"GBR",0.0245767666735699,2040
"GBR",0.0245767666735699,2041
"GBR",0.0245767666735699,2042
"GBR",0.0245767666735699,2043
"GBR",0.0245767666735699,2044
"GBR",0.0245767666735699,2045
"GBR",0.0245767666735699,2046
"GBR",0.0245767666735699,2047
"GBR",0.0245767666735699,2048
"GBR",0.0245767666735699,2049
"GBR",0.0245767666735699,2050
"GEO",0.0305133536074196,2021
"GEO",0.0305133536074196,2022
"GEO",0.0305133536074196,2023
"GEO",0.0305133536074196,2024
"GEO",0.0305133536074196,2025
"GEO",0.0305133536074196,2026
"GEO",0.0305133536074196,2027
"GEO",0.0305133536074196,2028
"GEO",0.0305133536074196,2029
"GEO",0.0305133536074196,2030
"GEO",0.0305133536074196,2031
"GEO",0.0305133536074196,2032
"GEO",0.0305133536074196,2033
"GEO",0.0305133536074196,2034
"GEO",0.0305133536074196,2035
"GEO",0.0305133536074196,2036
"GEO",0.0305133536074196,2037
"GEO",0.0305133536074196,2038
"GEO",0.0305133536074196,2039
"GEO",0.0305133536074196,2040
"GEO",0.0305133536074196,2041
"GEO",0.0305133536074196,2042
"GEO",0.0305133536074196,2043
"GEO",0.0305133536074196,2044
"GEO",0.0305133536074196,2045
"GEO",0.0305133536074196,2046
"GEO",0.0305133536074196,2047
"GEO",0.0305133536074196,2048
"GEO",0.0305133536074196,2049
"GEO",0.0305133536074196,2050
"GHA",0.0384875175911237,2021
"GHA",0.0384875175911237,2022
"GHA",0.0384875175911237,2023
"GHA",0.0384875175911237,2024
"GHA",0.0384875175911237,2025
"GHA",0.0384875175911237,2026
"GHA",0.0384875175911237,2027
"GHA",0.0384875175911237,2028
"GHA",0.0384875175911237,2029
"GHA",0.0384875175911237,2030
"GHA",0.0384875175911237,2031
"GHA",0.0384875175911237,2032
"GHA",0.0384875175911237,2033
"GHA",0.0384875175911237,2034
"GHA",0.0384875175911237,2035
"GHA",0.0384875175911237,2036
"GHA",0.0384875175911237,2037
"GHA",0.0384875175911237,2038
"GHA",0.0384875175911237,2039
"GHA",0.0384875175911237,2040
"GHA",0.0384875175911237,2041
"GHA",0.0384875175911237,2042
"GHA",0.0384875175911237,2043
"GHA",0.0384875175911237,2044
"GHA",0.0384875175911237,2045
"GHA",0.0384875175911237,2046
"GHA",0.0384875175911237,2047
"GHA",0.0384875175911237,2048
"GHA",0.0384875175911237,2049
"GHA",0.0384875175911237,2050
"GIB",0.0141124038051801,2021
"GIB",0.0141124038051801,2022
"GIB",0.0141124038051801,2023
"GIB",0.0141124038051801,2024
"GIB",0.0141124038051801,2025
"GIB",0.0141124038051801,2026
"GIB",0.0141124038051801,2027
"GIB",0.0141124038051801,2028
"GIB",0.0141124038051801,2029
"GIB",0.0141124038051801,2030
"GIB",0.0141124038051801,2031
"GIB",0.0141124038051801,2032
"GIB",0.0141124038051801,2033
"GIB",0.0141124038051801,2034
"GIB",0.0141124038051801,2035
"GIB",0.0141124038051801,2036
"GIB",0.0141124038051801,2037
"GIB",0.0141124038051801,2038
"GIB",0.0141124038051801,2039
"GIB",0.0141124038051801,2040
"GIB",0.0141124038051801,2041
"GIB",0.0141124038051801,2042
"GIB",0.0141124038051801,2043
"GIB",0.0141124038051801,2044
"GIB",0.0141124038051801,2045
"GIB",0.0141124038051801,2046
"GIB",0.0141124038051801,2047
"GIB",0.0141124038051801,2048
"GIB",0.0141124038051801,2049
"GIB",0.0141124038051801,2050
"GIN",0.0368557129682218,2021
"GIN",0.0368557129682218,2022
"GIN",0.0368557129682218,2023
"GIN",0.0368557129682218,2024
"GIN",0.0368557129682218,2025
"GIN",0.0368557129682218,2026
"GIN",0.0368557129682218,2027
"GIN",0.0368557129682218,2028
"GIN",0.0368557129682218,2029
"GIN",0.0368557129682218,2030
"GIN",0.0368557129682218,2031
"GIN",0.0368557129682218,2032
"GIN",0.0368557129682218,2033
"GIN",0.0368557129682218,2034
"GIN",0.0368557129682218,2035
"GIN",0.0368557129682218,2036
"GIN",0.0368557129682218,2037
"GIN",0.0368557129682218,2038
"GIN",0.0368557129682218,2039
"GIN",0.0368557129682218,2040
"GIN",0.0368557129682218,2041
"GIN",0.0368557129682218,2042
"GIN",0.0368557129682218,2043
"GIN",0.0368557129682218,2044
"GIN",0.0368557129682218,2045
"GIN",0.0368557129682218,2046
"GIN",0.0368557129682218,2047
"GIN",0.0368557129682218,2048
"GIN",0.0368557129682218,2049
"GIN",0.0368557129682218,2050
"GMB",0.0353645746489321,2021
"GMB",0.0353645746489321,2022
