"iso_code3","frac_waso_initial_composition_mun_other","Year"
"GNB",0.0392643463148118,2011
"GNB",0.0392643463148118,2012
"GNB",0.0392643463148118,2013
"GNB",0.0392643463148118,2014
"GNB",0.0392643463148118,2015
"GNB",0.0392643463148118,2016
"GNB",0.0392643463148118,2017
"GNB",0.0392643463148118,2018
"GNB",0.0392643463148118,2019
"GNB",0.0392643463148118,2020
"GNQ",0.0374986313797279,2010
"GNQ",0.0374986313797279,2011
"GNQ",0.0374986313797279,2012
"GNQ",0.0374986313797279,2013
"GNQ",0.0374986313797279,2014
"GNQ",0.0374986313797279,2015
"GNQ",0.0374986313797279,2016
"GNQ",0.0374986313797279,2017
"GNQ",0.0374986313797279,2018
"GNQ",0.0374986313797279,2019
"GNQ",0.0374986313797279,2020
"GRC",0.018,2010
"GRC",0.018,2011
"GRC",0.018,2012
"GRC",0.018,2013
"GRC",0.018,2014
"GRC",0.018,2015
"GRC",0.018,2016
"GRC",0.018,2017
"GRC",0.018,2018
"GRC",0.018,2019
"GRC",0.018,2020
"GRD",0.073,2010
"GRD",0.073,2011
"GRD",0.073,2012
"GRD",0.073,2013
"GRD",0.073,2014
"GRD",0.073,2015
"GRD",0.073,2016
"GRD",0.073,2017
"GRD",0.073,2018
"GRD",0.073,2019
"GRD",0.073,2020
"GRL",0.0668,2010
"GRL",0.0668,2011
"GRL",0.0668,2012
"GRL",0.0668,2013
"GRL",0.0668,2014
"GRL",0.0668,2015
"GRL",0.0668,2016
"GRL",0.0668,2017
"GRL",0.0668,2018
"GRL",0.0668,2019
"GRL",0.0668,2020
"GTM",0.0360369472827406,2010
"GTM",0.0360369472827406,2011
"GTM",0.0360369472827406,2012
"GTM",0.0360369472827406,2013
"GTM",0.0360369472827406,2014
"GTM",0.0360369472827406,2015
"GTM",0.0360369472827406,2016
"GTM",0.0360369472827406,2017
"GTM",0.0360369472827406,2018
"GTM",0.0360369472827406,2019
"GTM",0.0360369472827406,2020
"GUM",0.0174,2010
"GUM",0.0174,2011
"GUM",0.0174,2012
"GUM",0.0174,2013
"GUM",0.0174,2014
"GUM",0.0174,2015
"GUM",0.0174,2016
"GUM",0.0174,2017
"GUM",0.0174,2018
"GUM",0.0174,2019
"GUM",0.0174,2020
"GUY",0.0242,2010
"GUY",0.0242,2011
"GUY",0.0242,2012
"GUY",0.0242,2013
"GUY",0.0242,2014
