"iso_code3","frac_waso_non_recycled_landfilled","Year"
"GBR",0.22568,2012
"GBR",0.22568,2013
"GBR",0.22568,2014
"GBR",0.22568,2015
"GBR",0.22568,2016
"GBR",0.22568,2017
"GBR",0.22568,2018
"GBR",0.22568,2019
"GBR",0.22568,2020
"GEO",0,2010
"GEO",0,2011
"GEO",0,2012
"GEO",0,2013
"GEO",0,2014
"GEO",0,2015
"GEO",0,2016
"GEO",0,2017
"GEO",0,2018
"GEO",0,2019
"GEO",0,2020
"GHA",0,2010
"GHA",0,2011
"GHA",0,2012
"GHA",0,2013
"GHA",0,2014
"GHA",0,2015
"GHA",0,2016
"GHA",0,2017
"GHA",0,2018
"GHA",0,2019
"GHA",0,2020
"GIB",0,2010
"GIB",0,2011
"GIB",0,2012
"GIB",0,2013
"GIB",0,2014
"GIB",0,2015
"GIB",0,2016
"GIB",0,2017
"GIB",0,2018
"GIB",0,2019
"GIB",0,2020
"GIN",0,2010
"GIN",0,2011
"GIN",0,2012
"GIN",0,2013
"GIN",0,2014
"GIN",0,2015
"GIN",0,2016
"GIN",0,2017
"GIN",0,2018
"GIN",0,2019
"GIN",0,2020
"GMB",0,2010
"GMB",0,2011
"GMB",0,2012
"GMB",0,2013
"GMB",0,2014
"GMB",0,2015
"GMB",0,2016
"GMB",0,2017
"GMB",0,2018
"GMB",0,2019
"GMB",0,2020
"GNB",0,2010
"GNB",0,2011
"GNB",0,2012
"GNB",0,2013
"GNB",0,2014
"GNB",0,2015
"GNB",0,2016
"GNB",0,2017
"GNB",0,2018
"GNB",0,2019
"GNB",0,2020
"GNQ",0,2010
"GNQ",0,2011
"GNQ",0,2012
"GNQ",0,2013
"GNQ",0,2014
"GNQ",0,2015
"GNQ",0,2016
"GNQ",0,2017
"GNQ",0,2018
"GNQ",0,2019
"GNQ",0,2020
"GRC",0.8,2010
"GRC",0.8,2011
"GRC",0.8,2012
"GRC",0.8,2013
"GRC",0.8,2014
"GRC",0.8,2015
"GRC",0.8,2016
"GRC",0.8,2017
"GRC",0.8,2018
"GRC",0.8,2019
"GRC",0.8,2020
"GRD",0.983,2010
"GRD",0.983,2011
"GRD",0.983,2012
"GRD",0.983,2013
"GRD",0.983,2014
"GRD",0.983,2015
"GRD",0.983,2016
"GRD",0.983,2017
"GRD",0.983,2018
"GRD",0.983,2019
"GRD",0.983,2020
"GRL",0.6,2010
"GRL",0.6,2011
"GRL",0.6,2012
"GRL",0.6,2013
"GRL",0.6,2014
"GRL",0.6,2015
"GRL",0.6,2016
"GRL",0.6,2017
"GRL",0.6,2018
"GRL",0.6,2019
"GRL",0.6,2020
"GTM",0.096,2010
"GTM",0.096,2011
"GTM",0.096,2012
"GTM",0.096,2013
"GTM",0.096,2014
"GTM",0.096,2015
"GTM",0.096,2016
"GTM",0.096,2017
"GTM",0.096,2018
"GTM",0.096,2019
"GTM",0.096,2020
"GUM",0,2010
"GUM",0,2011
"GUM",0,2012
"GUM",0,2013
"GUM",0,2014
"GUM",0,2015
"GUM",0,2016
"GUM",0,2017
"GUM",0,2018
"GUM",0,2019
"GUM",0,2020
"GUY",0.6137,2010
"GUY",0.6137,2011
"GUY",0.6137,2012
"GUY",0.6137,2013
"GUY",0.6137,2014
"GUY",0.6137,2015
"GUY",0.6137,2016
"GUY",0.6137,2017
"GUY",0.6137,2018
"GUY",0.6137,2019
"GUY",0.6137,2020
"HKG",0.66,2010
"HKG",0.66,2011
"HKG",0.66,2012
"HKG",0.66,2013
"HKG",0.66,2014
"HKG",0.66,2015
"HKG",0.66,2016
"HKG",0.66,2017
"HKG",0.66,2018
"HKG",0.66,2019
"HKG",0.66,2020
"HND",0.599,2010
"HND",0.599,2011
"HND",0.599,2012
"HND",0.599,2013
"HND",0.599,2014
"HND",0.599,2015
"HND",0.599,2016
"HND",0.599,2017
"HND",0.599,2018
"HND",0.599,2019
"HND",0.599,2020
"HRV",0.7975,2010
"HRV",0.7975,2011
"HRV",0.7975,2012
"HRV",0.7975,2013
"HRV",0.7975,2014
"HRV",0.7975,2015
"HRV",0.7975,2016
"HRV",0.7975,2017
"HRV",0.7975,2018
"HRV",0.7975,2019
"HRV",0.7975,2020
"HTI",0.0994,2010
"HTI",0.0994,2011
"HTI",0.0994,2012
"HTI",0.0994,2013
"HTI",0.0994,2014
"HTI",0.0994,2015
"HTI",0.0994,2016
"HTI",0.0994,2017
"HTI",0.0994,2018
"HTI",0.0994,2019
"HTI",0.0994,2020
"HUN",0.5364,2010
"HUN",0.5364,2011
"HUN",0.5364,2012
"HUN",0.5364,2013
"HUN",0.5364,2014
"HUN",0.5364,2015
"HUN",0.5364,2016
"HUN",0.5364,2017
"HUN",0.5364,2018
