Year,iso_code3,frac_lndu_initial_other
2013,GHA,0.0005093662434547731
2014,GHA,0.0005061402776348935
2019,GHA,0.00054068311439598
2020,GHA,0.0005242058164655269
2021,GHA,0.0005242058164655269
2022,GHA,0.0005242058164655269
2023,GHA,0.0005242058164655269
2024,GHA,0.0005242058164655269
2025,GHA,0.0005242058164655269
2026,GHA,0.0005242058164655269
2027,GHA,0.0005242058164655269
2028,GHA,0.0005242058164655269
2029,GHA,0.0005242058164655269
2030,GHA,0.0005242058164655269
2031,GHA,0.0005242058164655269
2032,GHA,0.0005242058164655269
2033,GHA,0.0005242058164655269
2034,GHA,0.0005242058164655269
2035,GHA,0.0005242058164655269
2036,GHA,0.0005242058164655269
2037,GHA,0.0005242058164655269
2038,GHA,0.0005242058164655269
2039,GHA,0.0005242058164655269
2040,GHA,0.0005242058164655269
2041,GHA,0.0005242058164655269
2042,GHA,0.0005242058164655269
2043,GHA,0.0005242058164655269
2044,GHA,0.0005242058164655269
2045,GHA,0.0005242058164655269
2046,GHA,0.0005242058164655269
2047,GHA,0.0005242058164655269
