"iso_code3","frac_waso_initial_composition_mun_other","Year"
"CAF",0.0392845349969609,2028
"CAF",0.0392845349969609,2029
"CAF",0.0392845349969609,2030
"CAF",0.0392845349969609,2031
"CAF",0.0392845349969609,2032
"CAF",0.0392845349969609,2033
"CAF",0.0392845349969609,2034
"CAF",0.0392845349969609,2035
"CAF",0.0392845349969609,2036
"CAF",0.0392845349969609,2037
"CAF",0.0392845349969609,2038
"CAF",0.0392845349969609,2039
"CAF",0.0392845349969609,2040
"CAF",0.0392845349969609,2041
"CAF",0.0392845349969609,2042
"CAF",0.0392845349969609,2043
"CAF",0.0392845349969609,2044
"CAF",0.0392845349969609,2045
"CAF",0.0392845349969609,2046
"CAF",0.0392845349969609,2047
"CAF",0.0392845349969609,2048
"CAF",0.0392845349969609,2049
"CAF",0.0392845349969609,2050
"CAN",0.016,2021
"CAN",0.016,2022
"CAN",0.016,2023
"CAN",0.016,2024
"CAN",0.016,2025
"CAN",0.016,2026
"CAN",0.016,2027
"CAN",0.016,2028
"CAN",0.016,2029
"CAN",0.016,2030
"CAN",0.016,2031
"CAN",0.016,2032
"CAN",0.016,2033
"CAN",0.016,2034
"CAN",0.016,2035
"CAN",0.016,2036
"CAN",0.016,2037
"CAN",0.016,2038
"CAN",0.016,2039
"CAN",0.016,2040
"CAN",0.016,2041
"CAN",0.016,2042
"CAN",0.016,2043
"CAN",0.016,2044
"CAN",0.016,2045
"CAN",0.016,2046
"CAN",0.016,2047
"CAN",0.016,2048
"CAN",0.016,2049
"CAN",0.016,2050
"CHE",0.058,2021
"CHE",0.058,2022
"CHE",0.058,2023
"CHE",0.058,2024
"CHE",0.058,2025
"CHE",0.058,2026
"CHE",0.058,2027
"CHE",0.058,2028
"CHE",0.058,2029
"CHE",0.058,2030
"CHE",0.058,2031
"CHE",0.058,2032
"CHE",0.058,2033
"CHE",0.058,2034
"CHE",0.058,2035
"CHE",0.058,2036
"CHE",0.058,2037
"CHE",0.058,2038
"CHE",0.058,2039
"CHE",0.058,2040
"CHE",0.058,2041
"CHE",0.058,2042
"CHE",0.058,2043
"CHE",0.058,2044
"CHE",0.058,2045
"CHE",0.058,2046
"CHE",0.058,2047
"CHE",0.058,2048
"CHE",0.058,2049
"CHE",0.058,2050
"CHI",0.0358342997366015,2021
"CHI",0.0358342997366015,2022
"CHI",0.0358342997366015,2023
"CHI",0.0358342997366015,2024
"CHI",0.0358342997366015,2025
"CHI",0.0358342997366015,2026
"CHI",0.0358342997366015,2027
"CHI",0.0358342997366015,2028
"CHI",0.0358342997366015,2029
"CHI",0.0358342997366015,2030
"CHI",0.0358342997366015,2031
"CHI",0.0358342997366015,2032
"CHI",0.0358342997366015,2033
"CHI",0.0358342997366015,2034
"CHI",0.0358342997366015,2035
"CHI",0.0358342997366015,2036
"CHI",0.0358342997366015,2037
"CHI",0.0358342997366015,2038
"CHI",0.0358342997366015,2039
"CHI",0.0358342997366015,2040
"CHI",0.0358342997366015,2041
"CHI",0.0358342997366015,2042
"CHI",0.0358342997366015,2043
"CHI",0.0358342997366015,2044
"CHI",0.0358342997366015,2045
"CHI",0.0358342997366015,2046
"CHI",0.0358342997366015,2047
"CHI",0.0358342997366015,2048
