Year,iso_code3,cost_enfu_fuel_kerosene_usd_per_m3
2018,BIH,274.0889068
2019,BIH,274.0889068
2020,BIH,274.0889068
2015,BLR,6.91625
2016,BLR,6.91625
2017,BLR,6.91625
2018,BLR,6.91625
2019,BLR,6.91625
2020,BLR,6.91625
2015,BLZ,274.0889068
2016,BLZ,274.0889068
2017,BLZ,274.0889068
2018,BLZ,274.0889068
2019,BLZ,274.0889068
2020,BLZ,274.0889068
2015,BMU,274.0889068
2016,BMU,274.0889068
2017,BMU,274.0889068
2018,BMU,274.0889068
2019,BMU,274.0889068
2020,BMU,274.0889068
2015,BOL,274.0889068
2016,BOL,274.0889068
2017,BOL,274.0889068
2018,BOL,274.0889068
2019,BOL,274.0889068
2020,BOL,274.0889068
2015,BRA,21.69214286
2016,BRA,21.69214286
2017,BRA,21.69214286
2018,BRA,21.69214286
2019,BRA,21.69214286
2020,BRA,21.69214286
2015,BRB,274.0889068
2016,BRB,274.0889068
2017,BRB,274.0889068
2018,BRB,274.0889068
2019,BRB,274.0889068
2020,BRB,274.0889068
2015,BRN,274.0889068
2016,BRN,274.0889068
2017,BRN,274.0889068
2018,BRN,274.0889068
2019,BRN,274.0889068
2020,BRN,274.0889068
2015,BTN,274.0889068
2016,BTN,274.0889068
2017,BTN,274.0889068
2018,BTN,274.0889068
2019,BTN,274.0889068
2020,BTN,274.0889068
2015,BWA,274.0889068
2016,BWA,274.0889068
2017,BWA,274.0889068
2018,BWA,274.0889068
2019,BWA,274.0889068
2020,BWA,274.0889068
2015,CAF,274.0889068
2016,CAF,274.0889068
2017,CAF,274.0889068
2018,CAF,274.0889068
2019,CAF,274.0889068
2020,CAF,274.0889068
2015,CAN,274.0889068
2016,CAN,274.0889068
2017,CAN,274.0889068
2018,CAN,274.0889068
2019,CAN,274.0889068
2020,CAN,274.0889068
2015,CHE,274.0889068
2016,CHE,274.0889068
2017,CHE,274.0889068
2018,CHE,274.0889068
2019,CHE,274.0889068
2020,CHE,274.0889068
2015,CHL,274.0889068
2016,CHL,274.0889068
2017,CHL,274.0889068
2018,CHL,274.0889068
2019,CHL,274.0889068
