,Nation,iso_code3,Year,occrate_trns_passenger_per_vehicle_public
493,Heavily indebted poor countries (HIPC),HPC,2007,78.34671428571428
494,Heavily indebted poor countries (HIPC),HPC,2008,78.34671428571428
495,Croatia,HRV,2004,78.34671428571428
496,Croatia,HRV,2005,78.34671428571428
497,Croatia,HRV,2006,78.34671428571428
498,Croatia,HRV,2007,78.34671428571428
499,Croatia,HRV,2008,78.34671428571428
500,Haiti,HTI,2004,78.34671428571428
501,Haiti,HTI,2005,78.34671428571428
502,Haiti,HTI,2006,78.34671428571428
503,Haiti,HTI,2007,78.34671428571428
504,Haiti,HTI,2008,78.34671428571428
505,Hungary,HUN,2004,81.60000000000001
506,Hungary,HUN,2005,82.85
507,Hungary,HUN,2006,79.64999999999999
508,Hungary,HUN,2007,64.55
509,Hungary,HUN,2008,64.55
510,IBRD only,IBD,2004,78.34671428571428
511,IBRD only,IBD,2005,78.34671428571428
512,IBRD only,IBD,2006,78.34671428571428
513,IBRD only,IBD,2007,78.34671428571428
514,IBRD only,IBD,2008,78.34671428571428
515,IDA & IBRD total,IBT,2004,78.34671428571428
516,IDA & IBRD total,IBT,2005,78.34671428571428
517,IDA & IBRD total,IBT,2006,78.34671428571428
518,IDA & IBRD total,IBT,2007,78.34671428571428
519,IDA & IBRD total,IBT,2008,78.34671428571428
520,IDA total,IDA,2004,78.34671428571428
521,IDA total,IDA,2005,78.34671428571428
522,IDA total,IDA,2006,78.34671428571428
523,IDA total,IDA,2007,78.34671428571428
524,IDA total,IDA,2008,78.34671428571428
525,IDA blend,IDB,2004,78.34671428571428
526,IDA blend,IDB,2005,78.34671428571428
527,IDA blend,IDB,2006,78.34671428571428
528,IDA blend,IDB,2007,78.34671428571428
529,IDA blend,IDB,2008,78.34671428571428
530,Indonesia,IDN,2004,78.34671428571428
531,Indonesia,IDN,2005,78.34671428571428
532,Indonesia,IDN,2006,78.34671428571428
533,Indonesia,IDN,2007,78.34671428571428
534,Indonesia,IDN,2008,78.34671428571428
535,IDA only,IDX,2004,78.34671428571428
536,IDA only,IDX,2005,78.34671428571428
537,IDA only,IDX,2006,78.34671428571428
538,IDA only,IDX,2007,78.34671428571428
539,IDA only,IDX,2008,78.34671428571428
540,Isle of Man,IMN,2004,78.34671428571428
541,Isle of Man,IMN,2005,78.34671428571428
542,Isle of Man,IMN,2006,78.34671428571428
543,Isle of Man,IMN,2007,78.34671428571428
544,Isle of Man,IMN,2008,78.34671428571428
545,India,IND,2004,78.34671428571428
546,India,IND,2005,78.34671428571428
547,India,IND,2006,78.34671428571428
548,India,IND,2007,78.34671428571428
549,India,IND,2008,78.34671428571428
550,Not classified,INX,2004,78.34671428571428
551,Not classified,INX,2005,78.34671428571428
552,Not classified,INX,2006,78.34671428571428
553,Not classified,INX,2007,78.34671428571428
554,Not classified,INX,2008,78.34671428571428
555,Ireland,IRL,2004,78.34671428571428
556,Ireland,IRL,2005,78.34671428571428
557,Ireland,IRL,2006,78.34671428571428
558,Ireland,IRL,2007,78.34671428571428
559,Ireland,IRL,2008,78.34671428571428
560,"Iran, Islamic Rep.",IRN,2004,78.34671428571428
561,"Iran, Islamic Rep.",IRN,2005,78.34671428571428
562,"Iran, Islamic Rep.",IRN,2006,78.34671428571428
563,"Iran, Islamic Rep.",IRN,2007,78.34671428571428
564,"Iran, Islamic Rep.",IRN,2008,78.34671428571428
565,Iraq,IRQ,2004,78.34671428571428
566,Iraq,IRQ,2005,78.34671428571428
567,Iraq,IRQ,2006,78.34671428571428
568,Iraq,IRQ,2007,78.34671428571428
569,Iraq,IRQ,2008,78.34671428571428
570,Iceland,ISL,2004,78.34671428571428
571,Iceland,ISL,2005,78.34671428571428
572,Iceland,ISL,2006,78.34671428571428
573,Iceland,ISL,2007,78.34671428571428
574,Iceland,ISL,2008,78.34671428571428
575,Israel,ISR,2004,78.34671428571428
576,Israel,ISR,2005,78.34671428571428
577,Israel,ISR,2006,78.34671428571428
578,Israel,ISR,2007,78.34671428571428
579,Israel,ISR,2008,78.34671428571428
580,Italy,ITA,2004,75.95
581,Italy,ITA,2005,76.3
582,Italy,ITA,2006,79.5
583,Italy,ITA,2007,75.60000000000001
584,Italy,ITA,2008,75.95
