Year,iso_code3,frac_waso_non_recycled_incinerated
2015,EST,0.4477941151276183
2016,EST,0.4477941151276183
2017,EST,0.4477941151276183
2018,EST,0.4477941151276183
2019,EST,0.4477941151276183
2020,EST,0.4477941151276183
2010,ETH,0.25735390288719806
2011,ETH,0.25735390288719806
2012,ETH,0.25735390288719806
2013,ETH,0.25735390288719806
2014,ETH,0.25735390288719806
2015,ETH,0.25735390288719806
2016,ETH,0.25735390288719806
2017,ETH,0.25735390288719806
2018,ETH,0.25735390288719806
2019,ETH,0.25735390288719806
2020,ETH,0.25735390288719806
2010,FIN,0.4152417216089402
2011,FIN,0.4152417216089402
2012,FIN,0.4152417216089402
2013,FIN,0.4152417216089402
2014,FIN,0.4152417216089402
2015,FIN,0.4152417216089402
2016,FIN,0.4152417216089402
2017,FIN,0.4152417216089402
2018,FIN,0.4152417216089402
2019,FIN,0.4152417216089402
2020,FIN,0.4152417216089402
2010,FJI,0.13744101406380851
2011,FJI,0.13744101406380851
2012,FJI,0.13744101406380851
2013,FJI,0.13744101406380851
2014,FJI,0.13744101406380851
2015,FJI,0.13744101406380851
2016,FJI,0.13744101406380851
2017,FJI,0.13744101406380851
2018,FJI,0.13744101406380851
2019,FJI,0.13744101406380851
2020,FJI,0.13744101406380851
2010,FRA,0.30024932466835846
2011,FRA,0.30024932466835846
2012,FRA,0.30024932466835846
2013,FRA,0.30024932466835846
2014,FRA,0.30024932466835846
2015,FRA,0.30024932466835846
2016,FRA,0.30024932466835846
2017,FRA,0.30024932466835846
2018,FRA,0.30024932466835846
2019,FRA,0.30024932466835846
2020,FRA,0.30024932466835846
2010,FRO,0.32902430133382704
2011,FRO,0.32902430133382704
2012,FRO,0.32902430133382704
2013,FRO,0.32902430133382704
2014,FRO,0.32902430133382704
2015,FRO,0.32902430133382704
2016,FRO,0.32902430133382704
2017,FRO,0.32902430133382704
2018,FRO,0.32902430133382704
2019,FRO,0.32902430133382704
2020,FRO,0.32902430133382704
2010,FSM,0.2111757533821588
2011,FSM,0.2111757533821588
2012,FSM,0.2111757533821588
2013,FSM,0.2111757533821588
2014,FSM,0.2111757533821588
2015,FSM,0.2111757533821588
2016,FSM,0.2111757533821588
2017,FSM,0.2111757533821588
2018,FSM,0.2111757533821588
2019,FSM,0.2111757533821588
2020,FSM,0.2111757533821588
2010,GAB,0.25932695760084684
2011,GAB,0.25932695760084684
2012,GAB,0.25932695760084684
2013,GAB,0.25932695760084684
2014,GAB,0.25932695760084684
2015,GAB,0.25932695760084684
2016,GAB,0.25932695760084684
2017,GAB,0.25932695760084684
2018,GAB,0.25932695760084684
2019,GAB,0.25932695760084684
2020,GAB,0.25932695760084684
2010,GBR,0.2877095878993263
2011,GBR,0.2877095878993263
2012,GBR,0.2877095878993263
2013,GBR,0.2877095878993263
2014,GBR,0.2877095878993263
2015,GBR,0.2877095878993263
2016,GBR,0.2877095878993263
2017,GBR,0.2877095878993263
2018,GBR,0.2877095878993263
2019,GBR,0.2877095878993263
2020,GBR,0.2877095878993263
2010,GEO,0.24148212725736132
2011,GEO,0.24148212725736132
2012,GEO,0.24148212725736132
2013,GEO,0.24148212725736132
2014,GEO,0.24148212725736132
2015,GEO,0.24148212725736132
2016,GEO,0.24148212725736132
2017,GEO,0.24148212725736132
2018,GEO,0.24148212725736132
2019,GEO,0.24148212725736132
2020,GEO,0.24148212725736132
2010,GHA,0.21207985005492996
2011,GHA,0.21207985005492996
2012,GHA,0.21207985005492996
2013,GHA,0.21207985005492996
2014,GHA,0.21207985005492996
2015,GHA,0.21207985005492996
2016,GHA,0.21207985005492996
2017,GHA,0.21207985005492996
2018,GHA,0.21207985005492996
2019,GHA,0.21207985005492996
2020,GHA,0.21207985005492996
2010,GIB,0.32733690453948233
2011,GIB,0.32733690453948233
2012,GIB,0.32733690453948233
2013,GIB,0.32733690453948233
2014,GIB,0.32733690453948233
2015,GIB,0.32733690453948233
2016,GIB,0.32733690453948233
2017,GIB,0.32733690453948233
2018,GIB,0.32733690453948233
2019,GIB,0.32733690453948233
2020,GIB,0.32733690453948233
2010,GIN,0.20572370035073292
2011,GIN,0.20572370035073292
2012,GIN,0.20572370035073292
2013,GIN,0.20572370035073292
2014,GIN,0.20572370035073292
2015,GIN,0.20572370035073292
2016,GIN,0.20572370035073292
2017,GIN,0.20572370035073292
2018,GIN,0.20572370035073292
2019,GIN,0.20572370035073292
2020,GIN,0.20572370035073292
2010,GMB,0.20698510602592343
2011,GMB,0.20698510602592343
2012,GMB,0.20698510602592343
2013,GMB,0.20698510602592343
2014,GMB,0.20698510602592343
2015,GMB,0.20698510602592343
2016,GMB,0.20698510602592343
2017,GMB,0.20698510602592343
2018,GMB,0.20698510602592343
2019,GMB,0.20698510602592343
2020,GMB,0.20698510602592343
2010,GNB,0.20571744017707289
2011,GNB,0.20571744017707289
2012,GNB,0.20571744017707289
2013,GNB,0.20571744017707289
2014,GNB,0.20571744017707289
2015,GNB,0.20571744017707289
2016,GNB,0.20571744017707289
2017,GNB,0.20571744017707289
2018,GNB,0.20571744017707289
2019,GNB,0.20571744017707289
2020,GNB,0.20571744017707289
2010,GNQ,0.27771316476572194
2011,GNQ,0.27771316476572194
2012,GNQ,0.27771316476572194
2013,GNQ,0.27771316476572194
2014,GNQ,0.27771316476572194
2015,GNQ,0.27771316476572194
2016,GNQ,0.27771316476572194
2017,GNQ,0.27771316476572194
2018,GNQ,0.27771316476572194
2019,GNQ,0.27771316476572194
2020,GNQ,0.27771316476572194
2010,GRC,0.14622060469394313
2011,GRC,0.14622060469394313
2012,GRC,0.14622060469394313
2013,GRC,0.14622060469394313
2014,GRC,0.14622060469394313
2015,GRC,0.14622060469394313
2016,GRC,0.14622060469394313
2017,GRC,0.14622060469394313
2018,GRC,0.14622060469394313
2019,GRC,0.14622060469394313
2020,GRC,0.14622060469394313
2010,GRD,0.10411981277710579
2011,GRD,0.10411981277710579
2012,GRD,0.10411981277710579
2013,GRD,0.10411981277710579
2014,GRD,0.10411981277710579
2015,GRD,0.10411981277710579
2016,GRD,0.10411981277710579
2017,GRD,0.10411981277710579
2018,GRD,0.10411981277710579
2019,GRD,0.10411981277710579
2020,GRD,0.10411981277710579
2010,GRL,0.25637714882064355
2011,GRL,0.25637714882064355
2012,GRL,0.25637714882064355
2013,GRL,0.25637714882064355
2014,GRL,0.25637714882064355
2015,GRL,0.25637714882064355
2016,GRL,0.25637714882064355
2017,GRL,0.25637714882064355
2018,GRL,0.25637714882064355
2019,GRL,0.25637714882064355
2020,GRL,0.25637714882064355
2010,GTM,0.17144438604279066
2011,GTM,0.17144438604279066
2012,GTM,0.17144438604279066
2013,GTM,0.17144438604279066
2014,GTM,0.17144438604279066
2015,GTM,0.17144438604279066
2016,GTM,0.17144438604279066
2017,GTM,0.17144438604279066
2018,GTM,0.17144438604279066
2019,GTM,0.17144438604279066
2020,GTM,0.17144438604279066
2010,GUM,0.3628660988571499
2011,GUM,0.3628660988571499
2012,GUM,0.3628660988571499
2013,GUM,0.3628660988571499
2014,GUM,0.3628660988571499
2015,GUM,0.3628660988571499
2016,GUM,0.3628660988571499
2017,GUM,0.3628660988571499
2018,GUM,0.3628660988571499
2019,GUM,0.3628660988571499
2020,GUM,0.3628660988571499
2010,GUY,0.12590555739853376
2011,GUY,0.12590555739853376
2012,GUY,0.12590555739853376
2013,GUY,0.12590555739853376
2014,GUY,0.12590555739853376
2015,GUY,0.12590555739853376
2016,GUY,0.12590555739853376
2017,GUY,0.12590555739853376
2018,GUY,0.12590555739853376
2019,GUY,0.12590555739853376
2020,GUY,0.12590555739853376
2010,HKG,0.20485546078232447
2011,HKG,0.20485546078232447
2012,HKG,0.20485546078232447
2013,HKG,0.20485546078232447
2014,HKG,0.20485546078232447
2015,HKG,0.20485546078232447
2016,HKG,0.20485546078232447
2017,HKG,0.20485546078232447
2018,HKG,0.20485546078232447
2019,HKG,0.20485546078232447
2020,HKG,0.20485546078232447
2010,HND,0.17197988775670206
2011,HND,0.17197988775670206
2012,HND,0.17197988775670206
2013,HND,0.17197988775670206
2014,HND,0.17197988775670206
2015,HND,0.17197988775670206
2016,HND,0.17197988775670206
2017,HND,0.17197988775670206
2018,HND,0.17197988775670206
2019,HND,0.17197988775670206
2020,HND,0.17197988775670206
2010,HRV,0.14349383948873246
2011,HRV,0.14349383948873246
2012,HRV,0.14349383948873246
2013,HRV,0.14349383948873246
2014,HRV,0.14349383948873246
2015,HRV,0.14349383948873246
2016,HRV,0.14349383948873246
2017,HRV,0.14349383948873246
2018,HRV,0.14349383948873246
2019,HRV,0.14349383948873246
2020,HRV,0.14349383948873246
2010,HTI,0.18449677318990407
2011,HTI,0.18449677318990407
2012,HTI,0.18449677318990407
2013,HTI,0.18449677318990407
2014,HTI,0.18449677318990407
2015,HTI,0.18449677318990407
2016,HTI,0.18449677318990407
2017,HTI,0.18449677318990407
2018,HTI,0.18449677318990407
2019,HTI,0.18449677318990407
2020,HTI,0.18449677318990407
2010,HUN,0.1144221964181991
2011,HUN,0.1144221964181991
2012,HUN,0.1144221964181991
2013,HUN,0.1144221964181991
2014,HUN,0.1144221964181991
2015,HUN,0.1144221964181991
2016,HUN,0.1144221964181991
2017,HUN,0.1144221964181991
2018,HUN,0.1144221964181991
2019,HUN,0.1144221964181991
2020,HUN,0.1144221964181991
2010,IDN,0.1888281021040262
2011,IDN,0.1888281021040262
2012,IDN,0.1888281021040262
2013,IDN,0.1888281021040262
2014,IDN,0.1888281021040262
2015,IDN,0.1888281021040262
2016,IDN,0.1888281021040262
2017,IDN,0.1888281021040262
2018,IDN,0.1888281021040262
2019,IDN,0.1888281021040262
2020,IDN,0.1888281021040262
2010,IMN,0.23580053863926798
2011,IMN,0.23580053863926798
2012,IMN,0.23580053863926798
2013,IMN,0.23580053863926798
2014,IMN,0.23580053863926798
2015,IMN,0.23580053863926798
2016,IMN,0.23580053863926798
2017,IMN,0.23580053863926798
2018,IMN,0.23580053863926798
2019,IMN,0.23580053863926798
2020,IMN,0.23580053863926798
2010,IND,0.22693769378804277
2011,IND,0.22693769378804277
2012,IND,0.22693769378804277
2013,IND,0.22693769378804277
2014,IND,0.22693769378804277
2015,IND,0.22693769378804277
2016,IND,0.22693769378804277
2017,IND,0.22693769378804277
2018,IND,0.22693769378804277
2019,IND,0.22693769378804277
2020,IND,0.22693769378804277
2010,IRL,0.14878071855382416
2011,IRL,0.14878071855382416
2012,IRL,0.14878071855382416
2013,IRL,0.14878071855382416
2014,IRL,0.14878071855382416
2015,IRL,0.14878071855382416
2016,IRL,0.14878071855382416
2017,IRL,0.14878071855382416
2018,IRL,0.14878071855382416
2019,IRL,0.14878071855382416
2020,IRL,0.14878071855382416
2010,IRN,0.004854368932038835
2011,IRN,0.004854368932038835
2012,IRN,0.004854368932038835
2013,IRN,0.004854368932038835
2014,IRN,0.004854368932038835
2015,IRN,0.004854368932038835
2016,IRN,0.004854368932038835
2017,IRN,0.004854368932038835
2018,IRN,0.004854368932038835
2019,IRN,0.004854368932038835
2020,IRN,0.004854368932038835
2010,IRQ,0.1467481627802846
2011,IRQ,0.1467481627802846
2012,IRQ,0.1467481627802846
2013,IRQ,0.1467481627802846
2014,IRQ,0.1467481627802846
2015,IRQ,0.1467481627802846
2016,IRQ,0.1467481627802846
2017,IRQ,0.1467481627802846
2018,IRQ,0.1467481627802846
2019,IRQ,0.1467481627802846
2020,IRQ,0.1467481627802846
2010,ISL,0.02151882873134776
2011,ISL,0.02151882873134776
2012,ISL,0.02151882873134776
2013,ISL,0.02151882873134776
2014,ISL,0.02151882873134776
2015,ISL,0.02151882873134776
2016,ISL,0.02151882873134776
2017,ISL,0.02151882873134776
2018,ISL,0.02151882873134776
2019,ISL,0.02151882873134776
2020,ISL,0.02151882873134776
2010,ISR,0.16284713756831856
2011,ISR,0.16284713756831856
2012,ISR,0.16284713756831856
2013,ISR,0.16284713756831856
2014,ISR,0.16284713756831856
2015,ISR,0.16284713756831856
2016,ISR,0.16284713756831856
2017,ISR,0.16284713756831856
2018,ISR,0.16284713756831856
2019,ISR,0.16284713756831856
2020,ISR,0.16284713756831856
2010,ITA,0.18876311819598157
2011,ITA,0.18876311819598157
2012,ITA,0.18876311819598157
2013,ITA,0.18876311819598157
2014,ITA,0.18876311819598157
2015,ITA,0.18876311819598157
2016,ITA,0.18876311819598157
2017,ITA,0.18876311819598157
2018,ITA,0.18876311819598157
2019,ITA,0.18876311819598157
