Year,iso_code3,pij_lndu_wetlands_to_forests_secondary
2029,BRN,0.0023639693410704
2030,BRN,0.0023639693410704
2031,BRN,0.0023639693410704
2032,BRN,0.0023639693410704
2033,BRN,0.0023639693410704
2034,BRN,0.0023639693410704
2035,BRN,0.0023639693410704
2036,BRN,0.0023639693410704
2037,BRN,0.0023639693410704
2038,BRN,0.0023639693410704
2039,BRN,0.0023639693410704
2040,BRN,0.0023639693410704
2041,BRN,0.0023639693410704
2042,BRN,0.0023639693410704
2043,BRN,0.0023639693410704
2044,BRN,0.0023639693410704
2045,BRN,0.0023639693410704
2046,BRN,0.0023639693410704
2047,BRN,0.0023639693410704
2048,BRN,0.0023639693410704
2049,BRN,0.0023639693410704
2050,BRN,0.0023639693410704
2019,BWA,0.0043284352878002
2020,BWA,0.0031115781402728
2021,BWA,0.0031115781402728
2022,BWA,0.0031115781402728
2023,BWA,0.0031115781402728
2024,BWA,0.0031115781402728
2025,BWA,0.0031115781402728
2026,BWA,0.0031115781402728
2027,BWA,0.0031115781402728
2028,BWA,0.0031115781402728
2029,BWA,0.0031115781402728
2030,BWA,0.0031115781402728
2031,BWA,0.0031115781402728
2032,BWA,0.0031115781402728
2033,BWA,0.0031115781402728
2034,BWA,0.0031115781402728
2035,BWA,0.0031115781402728
2036,BWA,0.0031115781402728
2037,BWA,0.0031115781402728
2038,BWA,0.0031115781402728
2039,BWA,0.0031115781402728
2040,BWA,0.0031115781402728
2041,BWA,0.0031115781402728
2042,BWA,0.0031115781402728
2043,BWA,0.0031115781402728
2044,BWA,0.0031115781402728
2045,BWA,0.0031115781402728
2046,BWA,0.0031115781402728
2047,BWA,0.0031115781402728
2048,BWA,0.0031115781402728
2049,BWA,0.0031115781402728
2050,BWA,0.0031115781402728
2019,CAF,0.0006441276131966
2020,CAF,0.0031869256762071
2021,CAF,0.0031869256762071
2022,CAF,0.0031869256762071
2023,CAF,0.0031869256762071
2024,CAF,0.0031869256762071
2025,CAF,0.0031869256762071
2026,CAF,0.0031869256762071
2027,CAF,0.0031869256762071
2028,CAF,0.0031869256762071
2029,CAF,0.0031869256762071
2030,CAF,0.0031869256762071
2031,CAF,0.0031869256762071
2032,CAF,0.0031869256762071
2033,CAF,0.0031869256762071
2034,CAF,0.0031869256762071
2035,CAF,0.0031869256762071
2036,CAF,0.0031869256762071
2037,CAF,0.0031869256762071
2038,CAF,0.0031869256762071
2039,CAF,0.0031869256762071
2040,CAF,0.0031869256762071
2041,CAF,0.0031869256762071
2042,CAF,0.0031869256762071
2043,CAF,0.0031869256762071
2044,CAF,0.0031869256762071
2045,CAF,0.0031869256762071
2046,CAF,0.0031869256762071
2047,CAF,0.0031869256762071
2048,CAF,0.0031869256762071
2049,CAF,0.0031869256762071
2050,CAF,0.0031869256762071
2019,CAN,0.000663926396466
2020,CAN,0.0005623813927457
2021,CAN,0.0005623813927457
2022,CAN,0.0005623813927457
2023,CAN,0.0005623813927457
2024,CAN,0.0005623813927457
2025,CAN,0.0005623813927457
2026,CAN,0.0005623813927457
2027,CAN,0.0005623813927457
2028,CAN,0.0005623813927457
2029,CAN,0.0005623813927457
2030,CAN,0.0005623813927457
2031,CAN,0.0005623813927457
2032,CAN,0.0005623813927457
2033,CAN,0.0005623813927457
2034,CAN,0.0005623813927457
2035,CAN,0.0005623813927457
2036,CAN,0.0005623813927457
2037,CAN,0.0005623813927457
2038,CAN,0.0005623813927457
2039,CAN,0.0005623813927457
2040,CAN,0.0005623813927457
2041,CAN,0.0005623813927457
2042,CAN,0.0005623813927457
2043,CAN,0.0005623813927457
2044,CAN,0.0005623813927457
2045,CAN,0.0005623813927457
2046,CAN,0.0005623813927457
2047,CAN,0.0005623813927457
2048,CAN,0.0005623813927457
2049,CAN,0.0005623813927457
2050,CAN,0.0005623813927457
2019,CHE,0.0044774116771408
2020,CHE,0.0013509718772766
2021,CHE,0.0013509718772766
2022,CHE,0.0013509718772766
2023,CHE,0.0013509718772766
2024,CHE,0.0013509718772766
2025,CHE,0.0013509718772766
2026,CHE,0.0013509718772766
2027,CHE,0.0013509718772766
2028,CHE,0.0013509718772766
2029,CHE,0.0013509718772766
2030,CHE,0.0013509718772766
2031,CHE,0.0013509718772766
2032,CHE,0.0013509718772766
2033,CHE,0.0013509718772766
2034,CHE,0.0013509718772766
2035,CHE,0.0013509718772766
2036,CHE,0.0013509718772766
2037,CHE,0.0013509718772766
2038,CHE,0.0013509718772766
2039,CHE,0.0013509718772766
2040,CHE,0.0013509718772766
2041,CHE,0.0013509718772766
2042,CHE,0.0013509718772766
2043,CHE,0.0013509718772766
2044,CHE,0.0013509718772766
2045,CHE,0.0013509718772766
2046,CHE,0.0013509718772766
2047,CHE,0.0013509718772766
2048,CHE,0.0013509718772766
2049,CHE,0.0013509718772766
2050,CHE,0.0013509718772766
2019,CHL,0.0027186921565374
2020,CHL,0.0024611973234884
2021,CHL,0.0024611973234884
2022,CHL,0.0024611973234884
2023,CHL,0.0024611973234884
2024,CHL,0.0024611973234884
2025,CHL,0.0024611973234884
2026,CHL,0.0024611973234884
2027,CHL,0.0024611973234884
2028,CHL,0.0024611973234884
2029,CHL,0.0024611973234884
2030,CHL,0.0024611973234884
2031,CHL,0.0024611973234884
2032,CHL,0.0024611973234884
2033,CHL,0.0024611973234884
2034,CHL,0.0024611973234884
2035,CHL,0.0024611973234884
2036,CHL,0.0024611973234884
2037,CHL,0.0024611973234884
2038,CHL,0.0024611973234884
2039,CHL,0.0024611973234884
2040,CHL,0.0024611973234884
2041,CHL,0.0024611973234884
2042,CHL,0.0024611973234884
2043,CHL,0.0024611973234884
2044,CHL,0.0024611973234884
2045,CHL,0.0024611973234884
2046,CHL,0.0024611973234884
2047,CHL,0.0024611973234884
2048,CHL,0.0024611973234884
2049,CHL,0.0024611973234884
2050,CHL,0.0024611973234884
2019,CHN,0.0022548768750405
2020,CHN,0.0030616972933354
2021,CHN,0.0030616972933354
2022,CHN,0.0030616972933354
2023,CHN,0.0030616972933354
2024,CHN,0.0030616972933354
2025,CHN,0.0030616972933354
2026,CHN,0.0030616972933354
2027,CHN,0.0030616972933354
2028,CHN,0.0030616972933354
2029,CHN,0.0030616972933354
2030,CHN,0.0030616972933354
2031,CHN,0.0030616972933354
2032,CHN,0.0030616972933354
2033,CHN,0.0030616972933354
2034,CHN,0.0030616972933354
2035,CHN,0.0030616972933354
2036,CHN,0.0030616972933354
2037,CHN,0.0030616972933354
2038,CHN,0.0030616972933354
2039,CHN,0.0030616972933354
2040,CHN,0.0030616972933354
2041,CHN,0.0030616972933354
2042,CHN,0.0030616972933354
2043,CHN,0.0030616972933354
2044,CHN,0.0030616972933354
2045,CHN,0.0030616972933354
2046,CHN,0.0030616972933354
2047,CHN,0.0030616972933354
2048,CHN,0.0030616972933354
2049,CHN,0.0030616972933354
2050,CHN,0.0030616972933354
2019,CIV,0.0088311641035111
2020,CIV,0.0044076502087952
