TIMESERIES,UNIT,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Mauritius.Kerosene (1000 litres).Residential,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,257.74,263.26,244.22,215.30,211.58,218.52,231.20,268.28,235.51,198.89,213.33,300.38,292.06,313.62,318.18,341.69,926.84,974.13,1211.25,1150.81,1368.42,1648.56,1574.04,1620.85,1595.04,1231.60,1042.77,..
Mauritius.Kerosene (1000 litres).Residential,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,491.03,502.44,450.24,421.75,404.26,391.75,406.86,536.05,506.73,433.39,485.27,723.74,694.44,669.99,648.63,740.09,2007.51,1974.11,2152.41,2329.32,2670.89,2969.26,2948.88,3067.82,3014.82,2672.03,2275.01,..
Mauritius.Liquified Petroleum Gas (litre).Residential,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.80,6.55,6.55,6.55,6.55,7.19,7.00,7.00,7.00,7.00,7.50,9.06,9.99,10.12,9.71,9.86,13.16,14.23,14.22,13.56,13.56,13.56,14.69,14.91,14.91,14.91,13.78,..
Mauritius.Liquified Petroleum Gas (litre).Residential,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.39,0.42,0.42,0.37,0.36,0.41,0.39,0.33,0.29,0.28,0.29,0.31,0.33,0.36,0.35,0.33,0.41,0.46,0.50,0.42,0.44,0.47,0.49,0.49,0.49,0.42,0.39,..
Mauritius.Liquified Petroleum Gas (litre).Residential,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.74,0.80,0.78,0.73,0.70,0.74,0.69,0.67,0.63,0.61,0.65,0.75,0.79,0.78,0.72,0.72,0.90,0.92,0.89,0.86,0.86,0.85,0.92,0.92,0.92,0.92,0.85,..
Mauritius.Liquified Petroleum Gas (litre).Transport,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.45,20.65,23.49,28.09,24.53,26.40,30.88,33.40,34.86,34.78,33.95,23.02,..
Mauritius.Liquified Petroleum Gas (litre).Transport,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.49,0.65,0.75,0.99,0.77,0.86,1.08,1.11,1.14,1.14,0.97,0.65,..
Mauritius.Liquified Petroleum Gas (litre).Transport,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.06,1.41,1.52,1.75,1.55,1.67,1.94,2.08,2.15,2.15,2.10,1.41,..
Morocco.Coal (tonne).Industry,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,955.52,1096.23,961.35,1092.63,1898.92,1526.24,1229.64,1574.36,1640.02,1352.00,1253.71,1250.54,..,..
Morocco.Coal (tonne).Industry,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,107.72,123.59,109.24,133.41,245.02,189.36,146.04,194.60,190.04,160.76,149.07,128.13,..,..
Morocco.Coal (tonne).Industry,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,250.79,293.11,261.24,293.72,498.40,402.70,325.30,427.81,453.05,374.51,351.18,347.37,..,..
Morocco.Fuel oil (tonnes).Industry,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2203.48,2665.02,3426.48,3053.59,3309.31,3210.55,3143.74,3143.74,4346.60,5112.76,5854.59,3761.84,..,..
Morocco.Fuel oil (tonnes).Industry,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,248.42,300.45,389.37,372.84,427.01,398.33,373.37,388.60,503.66,607.94,696.15,385.44,..,..
Morocco.Fuel oil (tonnes).Industry,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,578.34,712.57,931.11,820.86,868.59,847.11,831.68,854.28,1200.72,1416.28,1639.94,1044.96,..,..
Morocco.Liquified Petroleum Gas (litre).Residential,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78
Morocco.Liquified Petroleum Gas (litre).Residential,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.65,0.65,0.66,0.70,0.75,0.72,0.69,0.71,0.67,0.69,0.69,0.59,0.59,0.60
Morocco.Liquified Petroleum Gas (litre).Residential,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.52,1.54,1.57,1.55,1.52,1.52,1.53,1.57,1.60,1.60,1.62,1.61,1.60,..
Nigeria.Liquified Petroleum Gas (litre).Residential,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,171.86,202.26
Nigeria.Liquified Petroleum Gas (litre).Residential,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.68,0.66
Nigeria.Liquified Petroleum Gas (litre).Residential,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.83,..
Pakistan.Natural gas (MWh).Commercial,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1342.10,1582.42,1668.76,2047.61,2172.95,2172.95,2172.95,..,..
Pakistan.Natural gas (MWh).Commercial,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.43,18.57,19.33,21.92,21.38,21.49,21.14,..,..
Pakistan.Natural gas (MWh).Commercial,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,70.79,76.19,68.53,80.84,81.48,77.08,74.98,..,..
Pakistan.Natural gas (MWh).Industry,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1132.16,1304.70,1375.90,1628.73,1665.91,1665.91,1665.91,..,..
Pakistan.Natural gas (MWh).Industry,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.86,15.32,15.94,17.44,16.39,16.48,16.21,..,..
Pakistan.Natural gas (MWh).Industry,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,59.71,62.82,56.51,64.30,62.46,59.10,57.48,..,..
Pakistan.Natural gas (MWh).Transport,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1457.50,1718.49,1812.27,2202.38,2239.46,2239.46,2239.46,..,..
Pakistan.Natural gas (MWh).Transport,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.84,20.17,20.99,23.58,22.04,22.15,21.79,..,..
Pakistan.Natural gas (MWh).Transport,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,76.87,82.74,74.43,86.95,83.97,79.44,77.28,..,..
Peru.Liquified Petroleum Gas (litre).Residential,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.96,2.04,2.13,2.00,2.02,2.06
Peru.Liquified Petroleum Gas (litre).Residential,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.74,0.76,0.75,0.63,0.60,0.63
Peru.Liquified Petroleum Gas (litre).Residential,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.30,1.36,1.40,1.31,1.29,..
Philippines.Kerosene (1000 litres).Residential,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,52741.00,39755.64,34733.29,40809.17
Philippines.Kerosene (1000 litres).Residential,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1187.86,873.75,731.38,809.71
Philippines.Kerosene (1000 litres).Residential,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2893.09,2222.23,1933.93,..
Plurinational State of Bolivia.Kerosene (1000 litres).Residential,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2720.00,2720.00,2720.00,2720.00,2720.00,2720.00
Plurinational State of Bolivia.Kerosene (1000 litres).Residential,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,393.63,393.63,393.63,393.63,393.63,393.63
Plurinational State of Bolivia.Kerosene (1000 litres).Residential,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,877.42,842.11,836.92,888.89,915.83,..
Plurinational State of Bolivia.Liquified Petroleum Gas (litre).Residential,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.22,1.22,1.22,1.22,1.22,1.22
Plurinational State of Bolivia.Liquified Petroleum Gas (litre).Residential,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.18,0.18,0.18,0.18,0.18,0.18
Plurinational State of Bolivia.Liquified Petroleum Gas (litre).Residential,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.39,0.38,0.38,0.40,0.41,..
Republic of Moldova.Liquified Petroleum Gas (litre).Transport,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.69,8.47,9.03,9.90,9.90,8.69,10.22
Republic of Moldova.Liquified Petroleum Gas (litre).Transport,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.66,0.70,0.72,0.70,0.53,0.44,0.55
Republic of Moldova.Liquified Petroleum Gas (litre).Transport,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.39,1.45,1.50,1.57,1.45,1.22,..
Republic of Moldova.Natural gas (MWh).Industry,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,630.70,626.25,614.10
Republic of Moldova.Natural gas (MWh).Industry,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33.51,31.44,33.20
Republic of Moldova.Natural gas (MWh).Industry,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,92.48,88.20,..
Republic of Moldova.Natural gas (MWh).Residential,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,663.90,657.70,644.30
Republic of Moldova.Natural gas (MWh).Residential,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,35.28,33.02,34.83
Republic of Moldova.Natural gas (MWh).Residential,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,97.35,92.63,..
Romania.Coal (tonne).Industry,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.72,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Romania.Coal (tonne).Industry,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23.28,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Romania.Coal (tonne).Industry,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,69.06,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Romania.Coal (tonne).Residential,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.04,0.14,1.65,3.06,4.12,5.18,14.29,29.13,39.19,59.61,79.49,107.49,135.25,156.46,181.11,205.14,222.81,218.97,244.10,239.53,..,..,..,..,..,..,..
Romania.Coal (tonne).Residential,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.80,4.83,20.68,17.98,20.60,16.71,19.85,32.73,25.61,27.47,27.32,32.48,40.74,47.99,62.24,73.00,91.32,86.89,80.03,75.32,..,..,..,..,..,..,..
Romania.Coal (tonne).Residential,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.50,82.70,76.40,68.67,57.56,71.47,97.08,89.07,96.15,98.14,109.69,114.62,123.19,129.36,146.53,149.54,139.47,155.48,155.54,..,..,..,..,..,..,..
Romania.Kerosene (1000 litres).Industry,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,122.80,..,..,..,..,..,..,..,..,..,2792.49,2751.15,3063.72,3698.93,4296.11,4357.19,4108.53,3575.19,3291.75,2457.24
Romania.Kerosene (1000 litres).Industry,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,137.98,..,..,..,..,..,..,..,..,..,1108.13,902.02,963.43,1212.77,1238.07,1308.47,1226.43,891.57,810.77,606.73
Romania.Kerosene (1000 litres).Industry,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,409.33,..,..,..,..,..,..,..,..,..,1778.66,1752.33,1989.43,2386.41,2753.92,2706.33,2520.57,2140.83,1959.37,..
Romania.Kerosene (1000 litres).Residential,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3323.07,3273.87,3722.42,4586.67,5327.17,5402.92,5094.58,4430.66,3950.10,2948.69
Romania.Kerosene (1000 litres).Residential,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1318.68,1073.40,1170.57,1503.83,1535.21,1622.50,1520.77,1104.90,972.93,728.07
Romania.Kerosene (1000 litres).Residential,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2116.60,2085.27,2417.16,2959.15,3414.86,3355.85,3125.51,2653.09,2351.25,..
Romania.Liquified Petroleum Gas (litre).Transport,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.85,2.12,2.69,2.99,2.92,2.97,2.70,2.24,2.24
Romania.Liquified Petroleum Gas (litre).Transport,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.61,0.67,0.88,0.86,0.88,0.89,0.67,0.55,0.55
Romania.Liquified Petroleum Gas (litre).Transport,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.18,1.38,1.73,1.92,1.82,1.82,1.62,1.34,..
Romania.Natural gas (MWh).Industry,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,111.20,120.10,115.70,113.45,125.90,150.90,168.55,180.25,177.75,168.25,159.10
Romania.Natural gas (MWh).Industry,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,45.57,47.66,37.93,35.68,41.28,43.49,50.62,53.81,44.33,41.44,39.28
Romania.Natural gas (MWh).Industry,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,74.63,76.50,73.69,73.67,81.23,96.73,104.69,110.58,106.44,100.15,..
Romania.Natural gas (MWh).Residential,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,114.30,122.90,118.80,116.50,118.80,121.40,130.70,139.45,144.85,147.15,143.20
Romania.Natural gas (MWh).Residential,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,46.84,48.77,38.95,36.63,38.95,34.99,39.25,41.63,36.12,36.24,35.36
Romania.Natural gas (MWh).Residential,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,76.71,78.28,75.67,75.65,76.64,77.82,81.18,85.55,86.74,87.59,..
Russian Federation.Coal (tonne).Industry,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,724.25,790.00,866.00,940.00,1039.00,1170.00,1283.00,1480.00,1527.00,1473.00,1534.00,1683.00,1682.00,1690.00
Russian Federation.Coal (tonne).Industry,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25.14,27.93,31.85,36.75,41.81,36.86,42.25,50.37,49.51,46.26,39.97,27.62,25.08,28.97
Russian Federation.Coal (tonne).Industry,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,62.71,62.01,68.68,67.24,72.45,83.45,81.10,85.30,82.72,75.85,73.01,73.11,71.06,..
Russian Federation.Coal (tonne).Residential,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2906.00,1837.00,2128.00,2286.00,2171.00,2655.00,3020.00,2957.00
Russian Federation.Coal (tonne).Residential,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,95.69,62.53,69.00,71.80,56.57,43.57,45.03,50.69
Russian Federation.Coal (tonne).Residential,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,183.69,105.88,115.28,117.71,103.33,115.33,127.59,..
Russian Federation.Fuel oil (tonnes).Industry,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3171.25,3975.00,6292.00,6059.00,8201.00,8801.00,11414.00,12814.00,13227.00,11934.00,12448.00,10249.00,7601.00,14296.00
Russian Federation.Fuel oil (tonnes).Industry,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,110.08,140.56,231.41,236.87,330.02,277.28,375.83,436.15,428.89,374.81,324.34,168.18,113.35,245.05
Russian Federation.Fuel oil (tonnes).Industry,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,274.57,312.01,498.97,433.40,571.90,627.75,721.49,738.56,716.52,614.52,592.48,445.22,321.12,..
Russian Federation.Kerosene (1000 litres).Industry,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.05,0.10,5.52,54.70,162.88,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Russian Federation.Kerosene (1000 litres).Industry,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,55.26,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Russian Federation.Kerosene (1000 litres).Industry,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,276.00,303.91,226.23,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Russian Federation.Kerosene (1000 litres).Residential,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.05,0.10,7.07,65.64,200.35,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Russian Federation.Kerosene (1000 litres).Residential,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,66.31,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Russian Federation.Kerosene (1000 litres).Residential,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,353.30,364.69,278.26,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Russian Federation.Liquified Petroleum Gas (litre).Transport,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.54,16.96,16.93,17.71
Russian Federation.Liquified Petroleum Gas (litre).Transport,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.43,0.28,0.25,0.30
Russian Federation.Liquified Petroleum Gas (litre).Transport,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.79,0.74,0.71,..
Russian Federation.Natural gas (MWh).Electricity Generation,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.00,0.00,0.12,0.85,..,..,..,..,..,..,..,50.21,63.98,83.36,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Russian Federation.Natural gas (MWh).Electricity Generation,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.86,..,..,..,..,..,..,..,1.72,2.04,2.72,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Russian Federation.Natural gas (MWh).Electricity Generation,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.90,4.73,..,..,..,..,..,..,..,6.03,6.90,8.45,..,..,..,..,..,..,..,..,..,..,..,..,..,..
